population	n_pop	k_folded	count
afr	33480	1045	0
afr	33480	1046	0
afr	33480	1047	0
afr	33480	1048	0
afr	33480	1049	0
afr	33480	1050	0
afr	33480	1051	0
afr	33480	1052	0
afr	33480	1053	0
afr	33480	1054	0
afr	33480	1055	0
afr	33480	1056	0
afr	33480	1057	0
afr	33480	1058	0
afr	33480	1059	0
afr	33480	1060	0
afr	33480	1061	0
afr	33480	1062	0
afr	33480	1063	0
afr	33480	1064	0
afr	33480	1065	0
afr	33480	1066	0
afr	33480	1067	0
afr	33480	1068	0
afr	33480	1069	0
afr	33480	1070	0
afr	33480	1071	0
afr	33480	1072	0
afr	33480	1073	0
afr	33480	1074	0
afr	33480	1075	0
afr	33480	1076	0
afr	33480	1077	0
afr	33480	1078	0
afr	33480	1079	0
afr	33480	1080	0
afr	33480	1081	0
afr	33480	1082	0
afr	33480	1083	0
afr	33480	1084	0
afr	33480	1085	0
afr	33480	1086	0
afr	33480	1087	0
afr	33480	1088	0
afr	33480	1089	0
afr	33480	1090	0
afr	33480	1091	0
afr	33480	1092	0
afr	33480	1093	0
afr	33480	1094	0
afr	33480	1095	0
afr	33480	1096	0
afr	33480	1097	0
afr	33480	1098	0
afr	33480	1099	0
afr	33480	1100	0
afr	33480	1101	0
afr	33480	1102	0
afr	33480	1103	0
afr	33480	1104	0
afr	33480	1105	0
afr	33480	1106	0
afr	33480	1107	0
afr	33480	1108	0
afr	33480	1109	0
afr	33480	1110	0
afr	33480	1111	0
afr	33480	1112	0
afr	33480	1113	0
afr	33480	1114	0
afr	33480	1115	0
afr	33480	1116	0
afr	33480	1117	0
afr	33480	1118	0
afr	33480	1119	1
afr	33480	1120	0
afr	33480	1121	0
afr	33480	1122	0
afr	33480	1123	0
afr	33480	1124	0
afr	33480	1125	0
afr	33480	1126	0
afr	33480	1127	0
afr	33480	1128	0
afr	33480	1129	0
afr	33480	1130	0
afr	33480	1131	0
afr	33480	1132	0
afr	33480	1133	0
afr	33480	1134	0
afr	33480	1135	0
afr	33480	1136	0
afr	33480	1137	0
afr	33480	1138	0
afr	33480	1139	0
afr	33480	1140	0
afr	33480	1141	0
afr	33480	1142	0
afr	33480	1143	0
afr	33480	1144	0
afr	33480	1145	0
afr	33480	1146	0
afr	33480	1147	0
afr	33480	1148	0
afr	33480	1149	0
afr	33480	1150	0
afr	33480	1151	0
afr	33480	1152	0
afr	33480	1153	0
afr	33480	1154	0
afr	33480	1155	0
afr	33480	1156	1
afr	33480	1157	0
afr	33480	1158	0
afr	33480	1159	0
afr	33480	1160	0
afr	33480	1161	0
afr	33480	1162	0
afr	33480	1163	0
afr	33480	1164	0
afr	33480	1165	0
afr	33480	1166	0
afr	33480	1167	0
afr	33480	1168	0
afr	33480	1169	0
afr	33480	1170	0
afr	33480	1171	0
afr	33480	1172	0
afr	33480	1173	0
afr	33480	1174	0
afr	33480	1175	0
afr	33480	1176	0
afr	33480	1177	0
afr	33480	1178	0
afr	33480	1179	0
afr	33480	1180	0
afr	33480	1181	0
afr	33480	1182	0
afr	33480	1183	0
afr	33480	1184	0
afr	33480	1185	0
afr	33480	1186	0
afr	33480	1187	0
afr	33480	1188	0
afr	33480	1189	0
afr	33480	1190	0
afr	33480	1191	0
afr	33480	1192	0
afr	33480	1193	0
afr	33480	1194	0
afr	33480	1195	0
afr	33480	1196	0
afr	33480	1197	0
afr	33480	1198	0
afr	33480	1199	0
afr	33480	1200	0
afr	33480	1201	0
afr	33480	1202	0
afr	33480	1203	0
afr	33480	1204	0
afr	33480	1205	0
afr	33480	1206	0
afr	33480	1207	0
afr	33480	1208	0
afr	33480	1209	0
afr	33480	1210	0
afr	33480	1211	0
afr	33480	1212	0
afr	33480	1213	0
afr	33480	1214	0
afr	33480	1215	0
afr	33480	1216	0
afr	33480	1217	0
afr	33480	1218	0
afr	33480	1219	0
afr	33480	1220	0
afr	33480	1221	0
afr	33480	1222	0
afr	33480	1223	0
afr	33480	1224	0
afr	33480	1225	0
afr	33480	1226	0
afr	33480	1227	0
afr	33480	1228	0
afr	33480	1229	0
afr	33480	1230	0
afr	33480	1231	0
afr	33480	1232	0
afr	33480	1233	0
afr	33480	1234	0
afr	33480	1235	0
afr	33480	1236	0
afr	33480	1237	0
afr	33480	1238	0
afr	33480	1239	0
afr	33480	1240	0
afr	33480	1241	0
afr	33480	1242	0
afr	33480	1243	0
afr	33480	1244	0
afr	33480	1245	0
afr	33480	1246	0
afr	33480	1247	0
afr	33480	1248	0
afr	33480	1249	0
afr	33480	1250	0
afr	33480	1251	0
afr	33480	1252	0
afr	33480	1253	0
afr	33480	1254	0
afr	33480	1255	0
afr	33480	1256	0
afr	33480	1257	0
afr	33480	1258	0
afr	33480	1259	0
afr	33480	1260	0
afr	33480	1261	0
afr	33480	1262	0
afr	33480	1263	0
afr	33480	1264	0
afr	33480	1265	0
afr	33480	1266	0
afr	33480	1267	0
afr	33480	1268	0
afr	33480	1269	0
afr	33480	1270	0
afr	33480	1271	0
afr	33480	1272	0
afr	33480	1273	0
afr	33480	1274	0
afr	33480	1275	0
afr	33480	1276	0
afr	33480	1277	0
afr	33480	1278	0
afr	33480	1279	0
afr	33480	1280	0
afr	33480	1281	0
afr	33480	1282	0
afr	33480	1283	0
afr	33480	1284	0
afr	33480	1285	0
afr	33480	1286	0
afr	33480	1287	0
afr	33480	1288	0
afr	33480	1289	0
afr	33480	1290	0
afr	33480	1291	0
afr	33480	1292	0
afr	33480	1293	0
afr	33480	1294	0
afr	33480	1295	0
afr	33480	1296	0
afr	33480	1297	0
afr	33480	1298	0
afr	33480	1299	0
afr	33480	1300	0
afr	33480	1301	0
afr	33480	1302	0
afr	33480	1303	0
afr	33480	1304	0
afr	33480	1305	0
afr	33480	1306	0
afr	33480	1307	0
afr	33480	1308	0
afr	33480	1309	0
afr	33480	1310	0
afr	33480	1311	0
afr	33480	1312	0
afr	33480	1313	0
afr	33480	1314	0
afr	33480	1315	0
afr	33480	1316	0
afr	33480	1317	0
afr	33480	1318	0
afr	33480	1319	0
afr	33480	1320	0
afr	33480	1321	0
afr	33480	1322	0
afr	33480	1323	0
afr	33480	1324	0
afr	33480	1325	0
afr	33480	1326	0
afr	33480	1327	0
afr	33480	1328	0
afr	33480	1329	0
afr	33480	1330	0
afr	33480	1331	0
afr	33480	1332	0
afr	33480	1333	0
afr	33480	1334	0
afr	33480	1335	0
afr	33480	1336	0
afr	33480	1337	0
afr	33480	1338	0
afr	33480	1339	0
afr	33480	1340	0
afr	33480	1341	0
afr	33480	1342	0
afr	33480	1343	0
afr	33480	1344	0
afr	33480	1345	0
afr	33480	1346	0
afr	33480	1347	0
afr	33480	1348	0
afr	33480	1349	0
afr	33480	1350	0
afr	33480	1351	0
afr	33480	1352	0
afr	33480	1353	0
afr	33480	1354	0
afr	33480	1355	0
afr	33480	1356	0
afr	33480	1357	0
